product_id,product_name,top_category,leaf_category,discounted_price,actual_price,discount_percentage,discount_amount,avg_rating_catalog,rating_count_catalog,embedded_user_count,embedded_review_count,review_content_length,est_gmv_proxy
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers&Accessories,WirelessUSBAdapters,507.0,1208.0,0.58,701.0,4.1,8131.0,8,8,483,4122417.0
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",Computers&Accessories,WirelessUSBAdapters,749.0,1339.0,0.44,590.0,4.2,179692.0,8,8,3989,134589308.0
B003B00484,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,Electronics,RechargeableBatteries,399.0,499.0,0.2,100.0,4.3,27201.0,8,8,1060,10853199.0
B003L62T7W,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",Computers&Accessories,Mice,279.0,375.0,0.26,96.0,4.3,31534.0,8,8,635,8797986.0
B004IO5BMQ,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop",Computers&Accessories,Mice,699.0,995.0,0.3,296.0,4.5,54405.0,8,8,1730,38029095.0
B005FYNT3G,SanDisk Cruzer Blade 32GB USB Flash Drive,Computers&Accessories,PenDrives,289.0,650.0,0.56,361.0,4.3,253105.0,8,8,195,73147345.0
B005LJQMCK,"BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",Electronics,OpticalCables,416.0,599.0,0.31,183.0,4.2,30023.0,8,8,702,12489568.0
B005LJQMZC,"BlueRigger Digital Optical Audio Toslink Cable (6 Feet / 1.8 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",Electronics,OpticalCables,486.0,1999.0,0.76,1513.0,4.2,30023.0,8,8,702,14591178.0
B006LW0WDQ,Amazon Basics 16-Gauge Speaker Wire - 50 Feet,Electronics,SpeakerCables,399.0,795.0,0.5,396.0,4.4,12091.0,8,8,2071,4824309.0
B0073QGKAS,Bajaj ATX 4 750-Watt Pop-up Toaster (White),Home&Kitchen,Pop-upToasters,1499.0,1499.0,0.0,0.0,4.3,9331.0,8,8,556,13987169.0
B0083T231O,Belkin Essential Series 4-Socket Surge Protector Universal Socket with 5ft Heavy Duty Cable (Grey),Electronics,SurgeProtectors,1289.0,1499.0,0.14,210.0,4.5,20668.0,8,8,715,26641052.0
B0085IATT6,"D-Link DIR-615 Wi-fi Ethernet-N300 Single_band 300Mbps Router, Mobile App Support, Router | AP | Repeater | Client Modes(Black)",Computers&Accessories,Routers,899.0,1800.0,0.5,901.0,4.1,22375.0,8,8,889,20115125.0
B0085W2MUQ,Orpat HHB-100E 250-Watt Hand Blender (White),Home&Kitchen,HandBlenders,765.0,970.0,0.21,205.0,4.2,6055.0,8,8,1453,4632075.0
B0088TKTY2,"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",Computers&Accessories,WirelessUSBAdapters,649.0,1399.0,0.54,750.0,4.2,179691.0,8,8,3989,116619459.0
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories,USBCables,599.0,599.0,0.0,0.0,4.3,355.0,8,8,555,212645.0
