model,cohort,users,precision_at_10,recall_at_10,hit_rate_at_10
Association-based recommender,10-14,1483,0.010721510451786919,0.04619015509103169,0.09912339851652056
Association-based recommender,15+,747,0.01860776439089692,0.04061888832587289,0.15796519410977242
Association-based recommender,8-9,1913,0.007422895974908522,0.037114479874542604,0.07109252483010978
Popularity baseline,10-14,1483,0.008226567768037762,0.03663744661721735,0.08091706001348618
Popularity baseline,15+,747,0.012315930388219546,0.028630744337689768,0.11244979919678715
Popularity baseline,8-9,1913,0.0071615263983272354,0.035807631991636175,0.07004704652378463
Item-based CF (cosine on co-occurrence),10-14,1483,0.005259608900876602,0.022926500337154418,0.048550236008091704
Item-based CF (cosine on co-occurrence),15+,747,0.011646586345381528,0.023138438061172478,0.09236947791164658
Item-based CF (cosine on co-occurrence),8-9,1913,0.003554626241505489,0.017773131207527444,0.03397804495556717
User-based CF (binary cosine neighbors),10-14,1483,0.011328388401888064,0.04933692964711171,0.10384356035064059
User-based CF (binary cosine neighbors),15+,747,0.018340026773761713,0.041349583876212126,0.1499330655957162
User-based CF (binary cosine neighbors),8-9,1913,0.008677469942498694,0.043387349712493466,0.08625196027182436
